<Hit {'category': u' toy ', 'description': u' transact rang billet preposit ice patter bed ', 'title': u' merchandis varactor ', 'id': 2623, 'phone': u'8234841656', 'address': u'university of california san francisco', 'email': u'srodriguez@pierce-lopez.com', 'name': u'luis green'}>
<Hit {'category': u' miscellan ', 'description': u' lightn purg bed shore thumb metal stuf ', 'title': u' qualifi mechan ', 'id': 2675, 'phone': u'6341475485', 'address': u'university of california san francisco', 'email': u'sreynolds@yahoo.com', 'name': u'christine christensen'}>
<Hit {'category': u' toy ', 'description': u' midnight contact dynam slave bed helm account window surveyor ', 'title': u' mechan decor spiral ', 'id': 2156, 'phone': u'9005203740', 'address': u'university of california merced', 'email': u'rogersbeverly@hotmail.com', 'name': u'brittany richmond'}>
<Hit {'category': u' household ', 'description': u' monolith hull uncertainti headset certif bed pointer conjectur justic ', 'title': u' initi content ', 'id': 2158, 'phone': u'7458414924', 'address': u'university of california irvine', 'email': u'awalter@yahoo.com', 'name': u'alexander henderson'}>
<Hit {'category': u' electron ', 'description': u' brook lane death bed extens thyristor jump indic mass ', 'title': u' decontamin radiat ', 'id': 2729, 'phone': u'1669660698', 'address': u'university of california irvine', 'email': u'robersonjohn@hancock.info', 'name': u'john mcclure'}>
<Hit {'category': u' season ', 'description': u' wool calib ball bed battl cure term thyristor pan ', 'title': u' striker visibl ', 'id': 2880, 'phone': u'1745942906', 'address': u'university of california merced', 'email': u'logan27@gmail.com', 'name': u'james west'}>
<Hit {'category': u' bed ', 'description': u' surpris acquitt spong nest convers vapor cargo overload stair ', 'title': u' relay ', 'id': 2009, 'phone': u'8806584729', 'address': u'university of california san francisco', 'email': u'zlutz@gmail.com', 'name': u'miss linda nguyen'}>
<Hit {'category': u' bed ', 'description': u' shell feeder tent comma ', 'title': u' budget percentag shell ', 'id': 2041, 'phone': u'3182778203', 'address': u'university of california berkley', 'email': u'christopher72@gmail.com', 'name': u'david bullock'}>
<Hit {'category': u' bed ', 'description': u' misalin win object yard explan hold parachut bia ', 'title': u' famili ', 'id': 2042, 'phone': u'1582409373', 'address': u'university of california merced', 'email': u'morgandodson@lee.info', 'name': u'gary kelly'}>
<Hit {'category': u' bed ', 'description': u' slave oper hospit challeng reinforc billet delimit supermarket ', 'title': u' radar pad ', 'id': 2044, 'phone': u'8290490537', 'address': u'university of california san francisco', 'email': u'jeffrey40@garcia-lopez.com', 'name': u'joshua reid'}>
<Hit {'category': u' bed ', 'description': u' in good qualiti ', 'title': u' queen mattress ', 'id': 3004, 'phone': u'940-704-5444', 'address': u'4700 taft blvd ,76308', 'email': u'harrypotter@mymsutexas.edu', 'name': u'hary'}>
<Hit {'category': u' bed ', 'description': u' monolith bed moistur calib strength danger ', 'title': u' food element hull ', 'id': 3502, 'phone': u'7494308457', 'address': u'university of california santa barbara', 'email': u'newtonkaitlyn@shepherd.org', 'name': u'corey butler'}>
<Hit {'category': u' bed ', 'description': u' manag defici sole natur truth edg mattress ', 'title': u' locat gate ', 'id': 3436, 'phone': u'7048045831', 'address': u'university of california san diego', 'email': u'dgarcia@wilson-woods.biz', 'name': u'david davis'}>
<Hit {'category': u' season ', 'description': u' press mattress talk ', 'title': u' beginn letterhead plead ', 'id': 3289, 'phone': u'3601440969', 'address': u'university of california santa cruz', 'email': u'qroberts@jones.org', 'name': u'robert christensen'}>
<Hit {'category': u' toy ', 'description': u' substanc solvent foot governor ', 'title': u' mattress variat ', 'id': 2946, 'phone': u'9327725925', 'address': u'university of california santa cruz', 'email': u'jlewis@bennett.com', 'name': u'courtney jackson'}>
<Hit {'category': u' season ', 'description': u' swim plate damag ', 'title': u' bed aircraft ', 'id': 3653, 'phone': u'5510446831', 'address': u'university of california santa cruz', 'email': u'hannah95@yahoo.com', 'name': u'kelly hicks'}>
<Hit {'category': u' toy ', 'description': u' transact rang billet preposit ice patter bed ', 'title': u' merchandis varactor ', 'id': 2623, 'phone': u'8234841656', 'address': u'university of california san francisco', 'email': u'srodriguez@pierce-lopez.com', 'name': u'luis green'}>
<Hit {'category': u' miscellan ', 'description': u' lightn purg bed shore thumb metal stuf ', 'title': u' qualifi mechan ', 'id': 2675, 'phone': u'6341475485', 'address': u'university of california san francisco', 'email': u'sreynolds@yahoo.com', 'name': u'christine christensen'}>
<Hit {'category': u' miscellan ', 'description': u' rollout gang compart sea saturday caus valley ', 'title': u' hall pattern bed ', 'id': 3184, 'phone': u'2766528153', 'address': u'university of california irvine', 'email': u'jonathanporter@gmail.com', 'name': u'kelsey page'}>
<Hit {'category': u' kitchen ', 'description': u' mattress dent definit automobil motel file januari elimin pan ', 'title': u' jig cure stick ', 'id': 2050, 'phone': u'4374654754', 'address': u'university of california los angeles', 'email': u'martinezralph@yahoo.com', 'name': u'phillip wheeler'}>
<Hit {'category': u' bed ', 'description': u' in good qualiti ', 'title': u' queen mattress ', 'id': 3004, 'phone': u'940-704-5444', 'address': u'4700 taft blvd ,76308', 'email': u'harrypotter@mymsutexas.edu', 'name': u'hary'}>
<Hit {'category': u' bed ', 'description': u' monolith bed moistur calib strength danger ', 'title': u' food element hull ', 'id': 3502, 'phone': u'7494308457', 'address': u'university of california santa barbara', 'email': u'newtonkaitlyn@shepherd.org', 'name': u'corey butler'}>
<Hit {'category': u' bed ', 'description': u' manag defici sole natur truth edg mattress ', 'title': u' locat gate ', 'id': 3436, 'phone': u'7048045831', 'address': u'university of california san diego', 'email': u'dgarcia@wilson-woods.biz', 'name': u'david davis'}>
<Hit {'category': u' season ', 'description': u' press mattress talk ', 'title': u' beginn letterhead plead ', 'id': 3289, 'phone': u'3601440969', 'address': u'university of california santa cruz', 'email': u'qroberts@jones.org', 'name': u'robert christensen'}>
<Hit {'category': u' toy ', 'description': u' substanc solvent foot governor ', 'title': u' mattress variat ', 'id': 2946, 'phone': u'9327725925', 'address': u'university of california santa cruz', 'email': u'jlewis@bennett.com', 'name': u'courtney jackson'}>
